R_Coleoptile_Biomass	Coleoptile Biomass reaction
R_BCTA3m	Branched-chain amino acid (ile-L) aminotransferase, mitochondrial
R_PRPNCOAHYDm	3-hydroxyacyl-CoA dehydrogenase
R_XMPc	Xanthosine 5-phosphate phosphohydrolase
R_CELLBGc	cellobiose beta-glucosidase
R_CELLc	cellulase
R_CELLSc	Cellulose synthase (UDP-forming)
R_HDAHs	Histidinal dehydrogenase
R_KARAm	Ketol-acid reductoisomerase, mitochondrial
R_KARAs	Ketol-acid reductoisomerase, plastidic
R_3HPCOAHYDc	3-hydroxyisobutyryl-CoA hydrolase
R_PYDMPATc	Pyridoxamine--pyruvate aminotransferase
R_PYDXNSc	Pyridoxine synthase
R_DHNPTAc	Dihydroneopterin aldolase
R_DHPRys	Dihydrodipicolinate reductase
R_TMMPKs	thiamin-monophosphate kinase
R_HMPKs	Hydroxymethylpyrimidine kinase
R_THMKs	Thiamine kinase
R_THICs	thiamine biosynthesis protein (ThiC)
R_THZPSN3s	thiazole phosphate synthesis
R_TYRLs	tyrosine lyase
R_ICYSDSs	ISC Cysteine desulfuration
R_FGFTs	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide formyltransferase, chloroplast
R_PPCOAOc	Propanoyl-CoA:(acceptor) 2,3-oxidoreductase
R_FGFTm	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide formyltransferase, mitochondria
R_DHAD_DASH_ps	Dihydroxy-acid dehydratase
R_GLDPs	4-alpha-glucanotransferase
R_ASRGs	Adenylyl-sulfate reductase (glutathione)
R_AAs	alpha-amylase
R_PHETAs	L-phenylalanine transferase, plastidic
R_PHETAc	L-phenylalanine transferase, cytosolic
R_ALCD25c	Phenylethylalcohol:NAD+ oxidoreductase
R_MCDH2m	2-methyl-branched-chain-enoyl-CoA reductase 
R_ECH2m	Tiglyl-CoA hydratase 
R_CYSTS_Gs	Cystathionine gamma-synthase
R_DHRDHm	Dihydroorotate dehydrogenase
R_PHENH4Lc	Phenylalanine ammonia-lyase
R_TYRNH4Lc	Tyrosine ammonia-lyase
R_COUMCOARc	4-coumaryl-CoA reductase
R_COUMCOALc	4-coumarate--CoA ligase
R_CAFFCMTc	Caffeoyl-CoA O-methyltransferase
R_CAFFQTc	Caffeoyl-CoA:quinate O-(3,4-dihydroxycinnamoyl)transferase
R_FERCOARc	feruloyl-CoA reductase
R_TCMO4c	Trans-cinnamate 4-monooxygenase
R_TCMO2c	Trans-cinnamate 2-monooxygenase
R_SKMHCTc	Shikimate O-hydroxycinnamoyltransferase
R_CONOHDHc	coniferyl-alcohol dehydrogenase
R_SINOHDHc	sinapyl-alcohol dehydrogenase
R_COUMQMOc	coumaroylquinate 3-monooxygenase
R_FERH2c	ferulate 5-hydroxylase
R_CONCMTc	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase
R_COUMSKMMOc	coumaroylshikimate 3-monooxygenase
R_COUMCQHc	p-coumaroyl-CoA:quinate hydroxycinnamoyltransferase
R_HCCSHCTc	Hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyltransferase
R_COUMOHDHc	4-coumaryl-alcohol dehydrogenase
R_CINNCOARc	Cinnamoyl-CoA reductase 
R_CINNCOALc	cinnamate:CoA ligase
R_CINNALDOc	cinnamaldehyde oxidase
R_CINNOHDHc	cinnamyl-alcohol dehydrogenase
R_TFCOASc	trans-feruloyl-CoA synthase
R_COUMGUTFc	2-coumarate O-beta-glucosyltransferase
R_COUMGUIc	2-coumarate beta-D-glucoside isomerase
R_EBGLCSc	exo-beta-glucanse
R_COUMNSc	coumarin synthase
R_COUMHYc	4-coumaroyl 2-hydroxylase
R_UMBLFSc	umbelliferone biosynthesis 
R_PRENTc	prenyltransferase
R_MARMSc	marmesin synthase
R_PSORSc	psoralen synthase
R_PSORMOc	psoralen 5-monooxygenase
R_BGPTLMTc	bergaptol O-methyltransferase
R_PINCAOc	Pinocembrin,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)
R_MALCINNMTc	malonyl-CoA:cinnamoyl-CoA malonyltransferase (cyclizing)
R_PINCLc	Pinocembrin chalcone lyase (decyclizing)
R_NRGNDOc	Naringenin 3-dioxygenase
R_DCHALSc	6-deoxychalcone synthase 
R_NRGCSc	Naringenin-chalcone synthase
R_CHALIc	Chalcone isomerase
R_NRGNAORc	naringenin 2-oxoglutarate oxygen oxidoreductase
R_NRGNNORc	naingenin, NADPH:oxygen osidoreductase
R_APG3Hc	apigenin 3-hydroxylase
R_ERDTLHc	eriodictyol 2-hydroxylase
R_2HEDBTSc	2-hydroxyeriodictyol dibenzoylmethane tautomer synthase
R_2HEDBT6GTc	2-hydroxyeriodictyol dibenzoylmethane tautomer 6C-glucosyltransferase
R_2HEDGDHc	2-hydroxyeriodictyol-C-glucoside dehydratase
R_2HEDBT8GTc	2-hydroxyeriodictyol dibenzoylmethane tautomer 8C-glucosyltransferase
R_ORNTNSc	orientin synthase (spontaneous)
R_NRGNHc	naringenin 2-hydroxylase
R_2HNDBTSc	2-hydroxynaringenin dibenzoylmethane tautomer synthase
R_2HNDBT6GTc	2-hydroxynaringenin dibenzoylmethane tautomer 6C-glucosyltransferase
R_2HNDGDHc	2-hydroxynaringenin-C-glucoside dehydratase
R_2HNDBT8GTc	2-hydroxynaringenin dibenzoylmethane tautomer 8C-glucosyltransferase
R_VTXNSc	vitexin synthase (spontaneous)
R_ISVTXNGTc	isovitexin beta-glucosyltransferase
R_IORNTNMTc	isoorientin 3-methyltransferase
R_ISCPRNGTc	Isoscoparin beta-glucosyltransferase
R_IORNTNGTc	Isoorientin beta-glucosyltransferase
R_TRICINGTc	Tricin beta-glucosyltransferase
R_LTLNHOc	luteolin 3-hydroxylase
R_TRICINS1c	tricin synthase 1
R_TRICINS2c	tricin synthase 2
R_ISQTGNLc	Isoliquiritigenin lyase (decyclizing)
R_LQTGN6Hc	Liquiritigenin 6-hydroxylase
R_NRGNMOc	Naringenin 3-monooxygenase
R_DHKFORc	Dihydrokaempferol,2-oxoglutarate:oxygen oxidoreductase
R_DHQORc	Dihydroquercetin,2-oxoglutarate:oxygen oxidoreductase
R_DHKMOc	Dihydrokaempferol 3-monooxygenase
R_KMPFLMOc	Kaempferol 3-monooxygenase
R_QRCTNGLT3c	Quercetin 3-O-glucosyltransferase
R_KMPFLGLT3c	Kaempferol 3-O-glucosyltransferase
R_DHKRc	dihydrokaempferol 4-reductase
R_LCYCORc	leucocyanidin:NADP+ 4-oxidoreductase
R_ERYORc	Eriodictyol 2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)
R_LPLGRc	leucopelargonidin reductase
R_LCYCRc	leucoanthocyanidin reductase 
R_LPLGDOc	leucopelargonidin dioxygenase
R_PNGLTc	Pelargonidin 3-O-glucosyltransferase
R_PLGNRc	Pelargonidin reductase
R_CNDNRc	Cyanidin reductase
R_CNDNGLTc	Cyanidin 3-O-glucosyltransferase
R_CNDNGLT5c	Cyanidin 5-O-glucosyltransferase
R_CNDNG3Gc	Cyanidin 5-O-glucoside: 3-O-glucosyltransferase
R_CNDNG5Gc	Cyanidin 3-O-glucoside: 5-O-glucosyltransferase
R_LCYCDOc	Leucoanthocyanidin dioxygenase
R_CHLOR410s	chlorophyllide-a:NADP+ oxidoreductase (photon410)
R_CHLOR430s	chlorophyllide-a:NADP+ oxidoreductase (photon430)
R_CHLOR450s	chlorophyllide-a:NADP+ oxidoreductase (photon450)
R_CHLOR470s	chlorophyllide-a:NADP+ oxidoreductase (photon470)
R_CHLOR490s	chlorophyllide-a:NADP+ oxidoreductase (photon490)
R_CHLOR510s	chlorophyllide-a:NADP+ oxidoreductase (photon510)
R_CHLOR530s	chlorophyllide-a:NADP+ oxidoreductase (photon530)
R_CHLOR550s	chlorophyllide-a:NADP+ oxidoreductase (photon550)
R_CHLOR570s	chlorophyllide-a:NADP+ oxidoreductase (photon570)
R_CHLOR590s	chlorophyllide-a:NADP+ oxidoreductase (photon590)
R_CHLOR610s	chlorophyllide-a:NADP+ oxidoreductase (photon610)
R_CHLOR630s	chlorophyllide-a:NADP+ oxidoreductase (photon630)
R_CHLOR650s	chlorophyllide-a:NADP+ oxidoreductase (photon650)
R_CHLOR670s	chlorophyllide-a:NADP+ oxidoreductase (photon670)
R_CHLOR690s	chlorophyllide-a:NADP+ oxidoreductase (photon690)
R_DVCHLOR410s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon410)
R_DVCHLOR430s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon430)
R_DVCHLOR450s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon450)
R_DVCHLOR470s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon470)
R_DVCHLOR490s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon490)
R_DVCHLOR510s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon510)
R_DVCHLOR530s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon530)
R_DVCHLOR550s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon550)
R_DVCHLOR570s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon570)
R_DVCHLOR590s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon590)
R_DVCHLOR610s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon610)
R_DVCHLOR630s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon630)
R_DVCHLOR650s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon650)
R_DVCHLOR670s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon670)
R_DVCHLOR690s	divinyl chlorophyllide-a:NADP+ oxidoreductase (photon690)
R_MGCHLs	Magnesium chelatase
R_FCRs	Ferric-chelate reductase
R_HEMELs	heme c ligase (chloroplast)
R_HEMELm	heme c ligase (mitochondria)
R_CHLBSEs	Chlorophyllase
R_CHLBSNs	chlorophyll synthase 
R_CHLAOs	chlorophyllide-a oxygenase (CHLA)
R_CHLASNs	chlorophyll synthase 
R_FRDPFTm	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase
R_CHORLm	chorismate lyase
R_HBZOPT8m	4-hydroxybenzoate octaprenyltransferase
R_3OPHBH2m	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH)
R_3OPHBH1m	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH)
R_DHOPBMTm	dihydroxydecaprenylbenzoate methyltransferase
R_OPHMBDCm	3-Decaprenyl-4-hydroxy-5-methoxybenzoate  decarboxylation
R_COQ7m	Ubiquinone biosynthesis COQ7
R_DHNCOASs	1,4-dihydroxy-2-naphthoyl-CoA synthase 
R_DHNCOAHs	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
R_ICHORMs	Isochorismate mutase
R_2SBZCOALs	o-succinylbenzoate-CoA ligase
R_SBZSs	o-succinylbenzoate synthase
R_DHNPPTs	1,4-dihydroxy-2-naphthoate polyprenyltransferase
R_DMPPTs	demethylphylloquinone phytyltransferase
R_DHNOPTs	1,4-dihydroxy-2-naphthoate octaprenyltransferase
R_DMPQMTs	demethylphylloquinone methyltransferase
R_SEPHCHCSs	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase 
R_SEPHHCSs	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
R_FRDPFTs	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase
R_OCTDPOTs	(E)-octaprenyl-diphosphate:isopentenyl-diphosphate octaprenyltranstransferase
R_HGENTISSTs	homogentisate solanesyltransferase
R_MSBQMTs	MPBQ/MSBQ methyltransferase
R_TYCGs	tocopherol cyclase
R_TYCDs	tocopherol cyclase
R_HMGCOARyc	Hydroxymethylglutaryl-CoA reductase (NADH)
R_MEVKc	Mevalonate kinase
R_IPDPS2s	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp, nadph)
R_IPDPS1s	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp, nadh)
R_DMPPS2s	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp, nadph)
R_DMPPS1s	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp, nadh)
R_MECDPDH5s	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase 
R_LIMSs	(4S)-limonene synthase
R_SQLMOc	squalene monooxygenase
R_PRIMARTSc	9-beta-pimara-7,15-diene oxidase
R_SCODPSs	syn-copalyl-diphosphate synthase
R_PRIMARDSs	syn-pimara-7,15-diene synthase
R_MOMASys	momilactone-A synthase
R_MOMASs	momilactone-A synthase
R_STEMSs	stemar-13-ene synthase
R_STEMOc	stemar-13-ene oxidase
R_P450MO1c	cytochrome P450 monooxygenase
R_ESANDSs	ent-sandaracopimaradiene synthase 
R_ESANDO1c	ent-cassa-12,15-diene oxidase
R_P450MO4c	cytochrome P450 monooxygenase
R_P450MO5c	cytochrome P450 monooxygenase
R_P450MO6c	cytochrome P450 monooxygenase
R_OZLNDO1c	Oryzalexin D oxidase
R_OZLNDO2c	Oryzalexin D oxidase
R_OZLNAOc	Oryzalexin A oxidase
R_OZLNBOc	Oryzalexin B oxidase
R_PRIMADNSs	ent-pimara-8(14),15-diene synthase
R_EIKAURSs	ent-isokaurene synthase
R_EIKAUROc	ent-isokaurene C2-hydroxylase
R_ECASDSs	ent-cassa-12,15-diene synthase
R_ECASDO1c	ent-cassa-12,15-diene oxidase
R_ECASDO2c	ent-cassa-12,15-diene oxidase
R_ECASDO3c	ent-cassa-12,15-diene oxidase
R_ECASDATEO1c	ent-cassa-12,15-diene-3alpha-ol-11-keto oxidase
R_ECASDATEO2c	ent-cassa-12,15-diene-3alpha-ol-11-keto oxidase
R_P450MO2c	cytochrome P450 monooxygenase
R_ECASDATEO3c	ent-cassa-12,15-diene-3alpha-ol-11-keto oxidase
R_ECASD2ATEO1c	ent-cassa-12,15-diene-2,3alpha-ol-11-keto oxidase
R_ECASD2ATEO2c	ent-cassa-12,15-diene-2,3alpha-ol-11-keto oxidase
R_P450MO3c	cytochrome P450 monooxygenase
R_EKAURSs	Ent-kaurene synthase
R_ECPDs	ent-copalyl diphosphate synthase
R_EKAURO1c	Ent-kaurene oxidase
R_EKAURO2c	Ent-kaurene oxidase
R_EKAURO3c	Ent-kaurene oxidase
R_EKAURATEO1c	Ent-kaurenoic acid oxidase
R_EKAURATEO2c	Ent-kaurenoic acid oxidase
R_EKAURATEO3c	Ent-kaurenoic acid oxidase
R_GADO12c	(gibberellin-12),2-oxoglutarate:oxygen oxidoreductase
R_GAAKGOR1c	(gibberellin-12),2-oxoglutarate:oxygen oxidoreductase
R_GAAKGOR2c	(gibberellin-15),2-oxoglutarate:oxygen oxidoreductase
R_GAAKGOR3c	(gibberellin-24),2-oxoglutarate:oxygen oxidoreductase
R_GADO1c	gibberellin 3beta-dioxygenase
R_GAAKORG12c	(gibberellin-4),2-oxoglutarate:oxygen oxidoreductase
R_GAAKORG10c	(gibberellin-9),2-oxoglutarate:oxygen oxidoreductase
R_GAAKORG11c	(gibberellin-51),2-oxoglutarate:oxygen oxidoreductase
R_GAAKGOR4c	(gibberellin-24),2-oxoglutarate:oxygen oxidoreductase
R_GADO2c	gibberellin 3beta-dioxygenase
R_GADO3c	gibberellin 3beta-dioxygenase
R_GADO4c	gibberellin 3beta-dioxygenase
R_GADO5c	gibberellin 3beta-dioxygenase
R_GAAKGOR5c	(gibberellin-37),2-oxoglutarate:oxygen oxidoreductase
R_GAAKGOR6c	(gibberellin-36),2-oxoglutarate:oxygen oxidoreductase
R_GADO6c	gibberellin 3beta-dioxygenase
R_GAAKORG7c	(gibberellin-19),2-oxoglutarate:oxygen oxidoreductase
R_GAAKORG15c	(gibberellin-19),2-oxoglutarate:oxygen oxidoreductase
R_GAAKORG8c	(gibberellin-20),2-oxoglutarate:oxygen oxidoreductase
R_GAAKORG9c	(gibberellin-29),2-oxoglutarate:oxygen oxidoreductase
R_GADO7c	gibberellin-44 dioxygenase 
R_GA3DOc	gibberellin 3 beta-dioxygenase 
R_GA2DOc	gibberellin 2 beta-dioxygenase 
R_GA4DOc	gibberellin 2 beta-dioxygenase 
R_VLXANDEOs	violaxanthin de-epoxidase
R_ANXANDEOs	antheraxanthin de-epoxidase
R_ZXANEOys	zeaxanthin epoxidase (nadph)
R_ZXANEOs	zeaxanthin epoxidase (nadh)
R_ANXANEOys	antheraxanthin epoxidase (nadph)
R_ANXANEOs	antheraxanthin epoxidase (nadh)
R_ACAROTORs	alpha-carotene,NADH:oxygen 3-oxidoreductase
R_CAROTEMOs	carotene epsilon-monooxygenase
R_CPTXANORs	alpha-cryptoxanthin,NADH:oxygen 3-oxidoreductase
R_ZNXANMOs	zeinoxanthin epsilon-monooxygenase
R_PHYTDSs	15-cis-phytoene desaturase
R_PHYTFLDSs	all-trans phytofluene desaturase
R_BCAROTHs	beta-carotene 3-hydroxylase
R_BCPTXANHs	beta-cryptoxanthin 3-hydroxylase 
R_CAROTDSs	Carotene 7,8-desaturase 
R_ZCARTDSs	all-trans-zeta-carotene desaturase 
R_CBGL1s	carotenoid beta-end group lyase (decyclizing), nrsprn
R_CBGL2s	carotenoid beta-end group lyase (decyclizing), z-carot
R_PHYTS1s	phytoene synthase (phdp forming)
R_PHYTS2s	phytoene synthase (phyt forming)
R_NXANSs	neoxanthin synthase
R_LYCOPEC1s	lycopene epsilon-cyclase
R_LYCOPBC1s	lycopene beta-cyclase (a-carot)
R_LYCOPBC2s	lycopene beta-cyclase (g-carot)
R_LYCOPBC3s	lycopene beta-cyclase (b-carot)
R_NXANIs	neoxanthin isomerase
R_XANXNDHs	Xanthoxin dehydrogenase
R_EPCDOs	9-cis-epoxycarotenoid dioxygenase
R_ABSALDOs	Abscisic-aldehyde oxidase
R_ABSH1s	abscisic acid 8-hydroxylase
R_ABSH2s	phaseic acid synthase
R_ECAROTHs	epsilon-carotene hydroxylase
R_EECAROTLHs	apsilon,epsilon-carotene-3-diol hydroxylase 
R_LYCOPEC2s	lycopene epsilon-cyclase
R_HSTDHc	3-beta-hydroxysteroid dehydrogenase
R_DXCSTNMOc	3-epi-6-deoxocathasterone 23-monooxygenase
R_DXSTNORc	6-Deoxoteasterone:brassinosteroid C3-oxidoreductase
R_DXTSTc	6-Deoxotyphasterol:brassinosteroid C3-oxidoreductase
R_DXTSTOc	6-Deoxotyphasterol:brassinosteroid C6-oxidase
R_DXSTNOc	6-Deoxoteasterone:brassinosteroid C6-oxidase
R_DHDXSTNOc	3-Dehydro-6-deoxoteasterone:brassinosteroid C6-oxidase
R_TSTNORc	Teasterone:brassinosteroid C3-oxidoreductase
R_BRS1c	Typhasterol synthase
R_BRS2c	Castasterone synthase
R_BRS3c	Brassinolide synthase
R_CAMPSTHc	Campesterol,NADPH:brassinosteroid C22alpha-hydroxylase
R_22HCAMHc	5alpha-Campestan-3-one,NADPH:brassinosteroid C22alpha-hydroxylase
R_CAMPST43EHc	Campest-4-en-3-one,NADPH:brassinosteroid C22alpha-hydroxylase
R_CAMPSTLHc	Campesterol,NADPH:brassinosteroid C22alpha-hydroxylase
R_22HCAM43Rc	22alpha-Hydroxy-campest-4-en-3-one;NADPH:steroid 5alpha-reductase
R_CAM43Rc	Campest-4-en-3-one,NADPH:steroid 5alpha-reductase
R_DKSTIc	Delta5-3-ketosteroid isomerase
R_BRS5c	6-Deoxocathasterone synthase
R_BRS4c	Campestanol synthase
R_STR14DMc	sterol 14alpha-demethylase 
R_CAMPSTc	Campesterol synthase
R_STISTSc	Stigmasterol synthase
R_DHAVESTRc	5-dehydroavenasterol reductase
R_DHEPISTRc	5-Dehydroepisterol reductase
R_MERGRc	4alpha-methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol delta14 reductase 
R_DHAVESTSc	5-dehydroavenasterol synthase
R_DHEPISTSc	5-Dehydroepisterol synthase
R_AVESTSc	avenasterol synthase
R_METMTc	24-methylenesterol C-methyltransferase
R_CSTLIc	cholestenol Delta-isomerase
R_CYECYCIc	Cycloeucalenol cycloisomerase
R_DSTRc	delta24-sterol reductase
R_IPDPT1s	2-Isopentenyl-diphosphate:ATP delta2-isopentenyltransferase
R_IPDPT2s	2-Isopentenyl-diphosphate:ADP delta2-isopentenyltransferase
R_ADMATs	adenylate dimethylallyltransferase 
R_CYTTHs	cytokinin trans-hydroxylase
R_TZTNS1s	trans zeatin synthesis 1
R_TZTNS2s	trans zeatin synthesis 2
R_IPAMRPs	N6-(delta2-isopentenyl)-adenosine 5-monophosphate phosphoribohydrolase
R_TZTNS3s	trans zeatin synthesis 3
R_TZTNS4s	trans zeatin synthesis 4
R_TZTNS5s	trans zeatin synthesis 5
R_TZTNS6s	trans zeatin synthesis 6
R_IPADEDHs	Isopentenyladenosine-5-diphosphate-hydroxylase
R_IPADETHs	Isopentenyladenosine-5-triphosphate-hydroxylase
R_CKTHs	cytokinin trans-hydroxylase
R_ZTNRs	zeatin reductase
R_P450MOc	P-450 monooxygenase
R_CKDH3c	cytokinin dehydrogenase
R_CKDH2c	cytokinin dehydrogenase
R_CKDH1c	cytokinin dehydrogenase
R_TRNAIPTc	tRNA isopentenyltransferase
R_cZTNS1c	cis-zeatin synthesis, 1
R_cZTNS2c	cis-zeatin synthesis, 2
R_CKPc	cytokinin phosphohydrolase
R_cZTNS3c	cis-zeatin synthesis, 3
R_CKGT1c	cytokinin N-glucosyltransferase
R_CKGT2c	cytokinin N-glucosyltransferase
R_CKGT3c	cytokinin N-glucosyltransferase
R_CKGT4c	cytokinin N-glucosyltransferase
R_CKGT5c	cytokinin N-glucosyltransferase
R_CKGT6c	cytokinin N-glucosyltransferase
R_CKGT7c	cytokinin N-glucosyltransferase
R_CKGT8c	cytokinin N-glucosyltransferase
R_CKOGT1c	cytokinin O-glucosyltransferase
R_CKOGT2c	cytokinin O-glucosyltransferase
R_CKOGT3c	cytokinin O-glucosyltransferase
R_LTHSTRLOc	lathosterol oxidase 
R_7DHCSRc	7-dehydrocholesterol reductase
R_D24STR1c	delta 24-sterol reductase
R_CHLSDDIc	5alpha-Cholest-7-en-3beta-ol delta7-delta8-isomerase
R_LATOXc	lathosterol oxidase
R_C22SDc	C-22 sterol desaturase
R_D24STRc	delta 24(24(1))-sterol reductase
R_URDGLLc	Ureidoglycolate lyase
R_ALTNDAc	allantoate deiminase
R_URDGLAHc	Ureidoglycine aminohydrolase
R_MACPCLs	malonyl-[acyl-carrier-protein] carboxy-lyase
R_FAS161ACP_Ls	fatty acyl-ACP synthase (n-C16:1ACP)
R_FAS181ACP_Ls	fatty acyl-ACP synthase (n-C18:1ACP)
R_FAS182ACP_Ls	fatty acyl-ACP synthase (n-C18:2ACP)
R_FAS183ACP_Ls	fatty acyl-ACP synthase (n-C18:3ACP)
R_FA183ACPHs	fatty-acyl-ACP hydrolase (n-C18:3)
R_FACOAL183r	fatty-acid--CoA ligase (linolenoate), endoplasmic reticular
R_FA200COAHr	Long-chain fatty-acyl-CoA hydrolase (arachidate), endoplasmic reticular
R_FA220COAHr	Long-chain fatty-acyl-CoA hydrolase (behenate), endoplasmic reticular
R_FA240COAHr	Long-chain fatty-acyl-CoA hydrolase (lignocerate), endoplasmic reticular
R_FA260COAHr	Long-chain fatty-acyl-CoA hydrolase (cerotate), endoplasmic reticular
R_FA280COAHr	Long-chain fatty-acyl-CoA hydrolase (montanate), endoplasmic reticular
R_FA300COAHr	Long-chain fatty-acyl-CoA hydrolase (melissate), endoplasmic reticular
R_FACOAL220r	fatty-acid--CoA ligase (behenate), endoplasmic reticular
R_FACOAL240r	fatty-acid--CoA ligase (lignocerate), endoplasmic reticular
R_FACOAL260r	fatty-acid--CoA ligase (cerotate), endoplasmic reticular
R_FACOAL280r	fatty-acid--CoA ligase (montanate), endoplasmic reticular
R_FACOAL300r	fatty-acid--CoA ligase (melissate), endoplasmic reticular
R_ALFACOAR200r	alcohol-forming fatty acyl-CoA reductase (n-C20:0CoA) 
R_ALFACOAR220r	alcohol-forming fatty acyl-CoA reductase (n-C22:0CoA) 
R_ALFACOAR240r	alcohol-forming fatty acyl-CoA reductase (n-C24:0CoA) 
R_ALFACOAR260r	alcohol-forming fatty acyl-CoA reductase (n-C26:0CoA) 
R_ALFACOAR280r	alcohol-forming fatty acyl-CoA reductase (n-C28:0CoA) 
R_ALFACOAR300r	alcohol-forming fatty acyl-CoA reductase (n-C30:0CoA) 
R_ALFAACT200r	long-chain-alcohol O-fatty-acyltransferase (n-C20:0CoA) 
R_ALFAACT220r	long-chain-alcohol O-fatty-acyltransferase (n-C22:0CoA) 
R_PALMH1r	palmitate omega-hydroxylase
R_FAOH1r	fatty acid omega-hydroxylase
R_HPALMDHr	16-hydroxypalmitate dehydrogenase
R_OOFADH1r	omega-oxo fatty acid dehydrogenase
R_OLEHr	oleate omega-hydroxylase
R_HOLEDHr	18-hydroxyoleate dehydrogenase
R_OOFADH2r	omega-oxo fatty acid dehydrogenase
R_FAOH2r	fatty acid omega-hydroxylase
R_THYDRO91018Sc	9,10,18-trihydroxystearate synthesis
R_OFAFTc	omega-fatty acid O-feruloyl transferase 
R_FAOH3r	fatty acid (arachidate) omega-hydroxylase
R_FAOH4r	fatty acid (behenate) omega-hydroxylase
R_FAOH5r	fatty acid (lignocerate) omega-hydroxylase
R_FAOH6r	fatty acid (cerotate) omega-hydroxylase
R_FAOH7r	fatty acid (montanate) omega-hydroxylase
R_FAOH8r	fatty acid (melissate) omega-hydroxylase
R_HARACDHr	20-hydroxyarachidate dehydrogenase
R_HBEHDHr	22-hydroxybehenate dehydrogenase
R_HLGNCDHr	24-hydroxylignocerate dehydrogenase
R_HCERODHr	26-hydroxycerotate dehydrogenase
R_HMNTDHr	28-hydroxymontanate dehydrogenase
R_HMLSDHr	30-hydroxymelissate dehydrogenase
R_OOFADH3r	omega-oxo fatty acid dehydrogenase
R_OOFADH4r	omega-oxo fatty acid dehydrogenase
R_OOFADH5r	omega-oxo fatty acid dehydrogenase
R_OOFADH6r	omega-oxo fatty acid dehydrogenase
R_OOFADH7r	omega-oxo fatty acid dehydrogenase
R_OOFADH8r	omega-oxo fatty acid dehydrogenase
R_FACOAL183c	fatty-acid--CoA ligase (linolenoate)
R_FAS161COA_Lc	fatty acyl-CoA synthase (n-C16:1CoA)
R_FAS181COA_Lc	fatty acyl-CoA synthase (n-C18:1CoA)
R_FAS182COA_Lc	fatty acyl-CoA synthase (n-C18:2CoA)
R_FAS183COA_Lc	fatty acyl-CoA synthase (n-C18:3CoA)
R_3OCS200r	3-oxoacyl-CoA synthase (n-C20:0)
R_3OCR200r	3-oxoacyl-CoA reductase (n-C20:0)
R_3HCD200r	3-hydroxyacyl-CoA dehydratase (n-C20:0)
R_ECR200yr	enoyl-CoA reductase (NADPH) (n-C20:0)
R_3OCS220r	3-oxoacyl-CoA synthase (n-C22:0)
R_3OCR220r	3-oxoacyl-CoA reductase (n-C22:0)
R_3HCD220r	3-hydroxyacyl-CoA dehydratase (n-C22:0)
R_ECR220yr	enoyl-CoA reductase (NADPH) (n-C22:0)
R_3OCS240r	3-oxoacyl-CoA synthase (n-C24:0)
R_3OCR240r	3-oxoacyl-CoA reductase (n-C24:0)
R_3HCD240r	3-hydroxyacyl-CoA dehydratase (n-C24:0)
R_ECR240yr	enoyl-CoA reductase (NADPH) (n-C24:0)
R_3OCS260r	3-oxoacyl-CoA synthase (n-C26:0)
R_3OCR260r	3-oxoacyl-CoA reductase (n-C26:0)
R_3HCD260r	3-hydroxyacyl-CoA dehydratase (n-C26:0)
R_ECR260yr	enoyl-CoA reductase (NADPH) (n-C26:0)
R_3OCS280r	3-oxoacyl-CoA synthase (n-C28:0)
